 Morbidade Hospitalar do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano atendimento
Lista Morb  CID-10: Tuberculose pulmonar, Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Tuberculose do sistema nervoso, Tuberc intest peritônio glângl mesentéricos, Tuberculose óssea e das articulações, Tuberculose do aparelho geniturinário, Tuberculose miliar, Restante de outras tuberculoses, Seqüelas de tuberculose
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"41 Paraná";190937,41;2833212,06;2193425,44;2119807,30;1989097,92;1867133,04;1612680,55;1562564,08;2381590,99;1480107,73;1974087,86;1530427,37;1602665,76;1944744,80;337662,46;25620144,77
"42 Santa Catarina";78524,04;460252,44;730316,49;663104,65;611255,59;497093,30;533724,36;849762,95;1127508,50;1047598,40;951753,07;1124639,53;1279799,87;1202372,47;175283,19;11332988,85
"43 Rio Grande do Sul";212851,99;3244859,23;3200290,19;3774052,76;3046513,31;3047497,91;1989154,83;1869900,69;1964676,93;2051925,79;2642753,77;2506545,99;3048000,62;2487620,40;419865,33;35506509,74
"50 Mato Grosso do Sul";74765,21;575872,55;382342,03;456527,61;351095,45;321403,25;522885,85;610542,43;900972,92;643797,07;416128,87;269895,46;557146,16;744445,50;185761,04;7013581,40
"51 Mato Grosso";6782,96;208481,73;43930,76;126330,92;123519,64;126649,51;235493,77;379981,98;196995,26;108483,93;137953,96;154029,44;160957,88;133764,26;23453,20;2166809,20
"52 Goiás";81128,17;501562,28;527555,87;694362,13;553265,76;690562,35;959669,09;342099,31;413064,13;493656,23;360960,50;489669,42;613074,40;450336,51;83697,28;7254663,43
"53 Distrito Federal";4193,08;73346,32;83594,28;44138,18;41512,01;64283,53;63056,38;38064,02;59090,29;65138,63;86511,60;235052,70;326852,95;321290,51;56163,00;1562287,48
"Total";1964750,28;23461659,45;24278160,59;27077270,11;34494880,25;32452744,81;29847642,91;26643362,40;31389907,47;28654635,42;30742125,69;32112669,50;33945293,43;31048773,74;5919335,88;394033211,93
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
